RunNo,primer,Folder,Plate,Thaw
304,MFU,2023-05-10_MURI304,2,1
306,DL,2023-06-29_MURI306,2,2
307,DL,2023-07-12_MURI307,2,2
308,DL,2023-07-18_MURI308,2,2
309,C16,2023-08-31_MURI309,2,3
310,DL,2023-10-11_MURI310,2,1
313,MFU,2024-01-16_MURI313,2.1,1
314,DL,2024-02-07_MURI314,2,4
314,DLL1,2024-02-07_MURI314,2,4
314,MFU,2024-02-07_MURI314,2.2,1
315,MFU,2024-02-23_MURI315,2.3,1
316,MFU,2024-02-27_MURI316,2.4,1
317,MFU,2024-03-19_MURI317,2.5,1
317,MFU,2024-03-19_MURI317,2.6,1
318,MFU,2024-04-13_MURI318,2,5
318,MFU,2024-04-13_MURI318,2.1,2
318,MFU,2024-04-13_MURI318,2.6,2
319,DL,2024-05-18_MURI319,2.1,3
319,DL,2024-05-18_MURI319,2.2,2
319,DL,2024-05-18_MURI319,2.3,2
319,DL,2024-05-18_MURI319,2.5,2
319,DLL1,2024-05-18_MURI319,NA,1
320,MV1,2024-07-11_MURI320,2,6
321,DLL1,2024-08-08_MURI321,2.1,4
323,MV1,2024-08-27_MURI323,2.1,5
324,MV1,2024-09-07_MURI324,2.1,5
325,MV1,2024-09-10_MURI325,2.1,5
326,MV1,2024-10-26_MURI326,2.2,3
327,MV1,2024-10-30_MURI327,2.2,3
328,MV1,2024-11-05_MURI328,2.3,3
329,MV1,2024-11-09_MURI329,2.4,2
330,MV1,2024-11-14_MURI330,2.5,3
331,MV1,2025-01-02_MURI331,2.3,4
331,MV1,2025-01-02_MURI331,2.4,3
331,MV1,2025-01-02_MURI331,2.5,4
331,MV1,2025-01-02_MURI331,2.6,3
332,DL,2025-03-20_MURI332,2.1,6
332,DL,2025-03-20_MURI332,2.2,4
332,DL,2025-03-20_MURI332,2.3,5
332,DL,2025-03-20_MURI332,2.4,4
332,DL,2025-03-20_MURI332,NA,1
333,MV1,2025-04-10_MURI333,2.3,6
334,MV1,2025-04-13_MURI334,2.4,5
335,MV1,2025-04-16_MURI335,2.5,5
336,MV1,2025-04-22_MURI336,2.2,5
337,MV1,2025-04-25_MURI337,2.3,6
338,MV1,2025-04-30_MURI338,2.4,5
339,MV1,2025-05-06_MURI339,2.5,5
340,DL,2025-05-26_MURI340,2.5,6
340,MV1,2025-05-26_MURI340,2.5,6
340,DL,2025-05-26_MURI340,2.6,4
340,MV1,2025-05-26_MURI340,2.6,4
342,MV1,2025-05-29_MURI342,2.0A,1
343,MV1,2025-07-23_MURI343,2.1,7
343,MV1,2025-07-23_MURI343,2.2,6
343,MV1,2025-07-23_MURI343,2.3,7
343,MV1,2025-07-23_MURI343,2.4,6
343,MV1,2025-07-23_MURI343,2.5,7
343,MV1,2025-07-23_MURI343,2.0A,1
344,MFU,2025-07-29_MURI344,2.1,7
344,MV1,2025-07-29_MURI344,2.1,7
344,MFU,2025-07-29_MURI344,2.2,6
344,MV1,2025-07-29_MURI344,2.2,6
344,MFU,2025-07-29_MURI344,2.3,7
344,MV1,2025-07-29_MURI344,2.3,7
344,MFU,2025-07-29_MURI344,2.4,6
344,MV1,2025-07-29_MURI344,2.4,6
344,MFU,2025-07-29_MURI344,2.5,7
344,MV1,2025-07-29_MURI344,2.5,7
344,MFU,2025-07-29_MURI344,2.0A,1
344,MV1,2025-07-29_MURI344,2.0A,1
