NWFSCsampleID,Plate
52193-1395,2
52193-1397,2
52193-1403,2
52193-1409,2
52193-1423,2
52193-1433,2
52193-1436,2
52193-1445,2
52193-1447,2
52193-1457,2
52193-1460,2
52193-1470,2
52193-1472,2
52193-1482,2
52193-1485,2
52193-1495,2
52193-1510,2
52193-1517,2
52193-1519,2
52193-1525,2
52193-1528,2
52193-1530,2
52193-1536,2
52193-1538,2
52193-1542,2
52193-1547,2
52193-1561,2
52193-1571,2
52193-1573,2
52193-1583,2
52193-1585,2
52193-1595,2
52193-1598,2
52193-1607,2
52193-1611,2
52193-1621,2
52193-1623,2
52193-1633,2
52193-1647,2
52193-1653,2
52193-1655,2
52193-1657,2
52193-1662,2
52193-1664,2
52193-1671,2
52193-1678,2
52193-1680,2
52193-1690,2
52193-1694,2
52193-1704,2
52193-1706,2
52193-1716,2
52193-1721,2
52193-1725,2
52193-1728,2
52193-1733,2
52193-1746,2
52193-1755,2
52193-1757,2
52193-1767,2
52193-1769,2
52193-1779,2
52193-1782,2
52193-1792,2
52193-1794,2
52193-1804,2
52193-1806,2
52193-1816,2
52193-1828,2
52193-1834,2
52193-1836,2
52193-1840,2
52193-1843,2
52193-1853,2
52193-1867,2
52193-1877,2
52193-1879,2
52193-1887,2
52193-1892,2
52193-1898,2
52193-1904,2
52193-1908,2
52193-1024,2.1
52193-1044,2.1
52193-1048,2.1
52193-1077,2.1
52193-1079,2.1
52193-1091,2.1
52193-1093,2.1
52193-1099,2.1
52193-1109,2.1
52193-1115,2.1
52193-1139,2.1
52193-1157,2.1
52193-1201,2.1
52193-1231,2.1
52193-124,2.1
52193-1243,2.1
52193-1253,2.1
52193-126,2.1
52193-1267,2.1
52193-1275,2.1
52193-1279,2.1
52193-1281,2.1
52193-1295,2.1
52193-1299,2.1
52193-1314,2.1
52193-1334,2.1
52193-1369,2.1
52193-1385,2.1
52193-1449,2.1
52193-1453,2.1
52193-1474,2.1
52193-150,2.1
52193-1501,2.1
52193-1555,2.1
52193-156,2.1
52193-1575,2.1
52193-1591,2.1
52193-1682,2.1
52193-170,2.1
52193-1700,2.1
52193-1735,2.1
52193-178,2.1
52193-1811,2.1
52193-182,2.1
52193-1861,2.1
52193-1869,2.1
52193-1871,2.1
52193-202,2.1
52193-227,2.1
52193-259,2.1
52193-275,2.1
52193-294,2.1
52193-300,2.1
52193-332,2.1
52193-338,2.1
52193-352,2.1
52193-372,2.1
52193-408,2.1
52193-423,2.1
52193-429,2.1
52193-435,2.1
52193-488,2.1
52193-506,2.1
52193-517,2.1
52193-529,2.1
52193-56,2.1
52193-617,2.1
52193-62,2.1
52193-645,2.1
52193-68,2.1
52193-700,2.1
52193-72,2.1
52193-734,2.1
52193-789,2.1
52193-808,2.1
52193-823,2.1
52193-847,2.1
52193-874,2.1
52193-878,2.1
52193-898,2.1
52193-910,2.1
52193-946,2.1
52193-977,2.1
52193-979,2.1
52193-987,2.1
52193-991,2.1
52193-993,2.1
52193-997,2.1
52193-103,2.2
52193-1036,2.2
52193-1042,2.2
52193-1054,2.2
52193-1056,2.2
52193-1060,2.2
52193-1062,2.2
52193-1075,2.2
52193-1088,2.2
52193-112,2.2
52193-1153,2.2
52193-1155,2.2
52193-1169,2.2
52193-1189,2.2
52193-1233,2.2
52193-1237,2.2
52193-1245,2.2
52193-1249,2.2
52193-1251,2.2
52193-1257,2.2
52193-1263,2.2
52193-1269,2.2
52193-1293,2.2
52193-1313,2.2
52193-1340,2.2
52193-1353,2.2
52193-1355,2.2
52193-1367,2.2
52193-1379,2.2
52193-1388,2.2
52193-140,2.2
52193-1411,2.2
52193-1462,2.2
52193-1464,2.2
52193-1466,2.2
52193-1491,2.2
52193-1559,2.2
52193-1563,2.2
52193-1577,2.2
52193-1587,2.2
52193-160,2.2
52193-1627,2.2
52193-1698,2.2
52193-1771,2.2
52193-1775,2.2
52193-1784,2.2
52193-1796,2.2
52193-1847,2.2
52193-1857,2.2
52193-206,2.2
52193-255,2.2
52193-336,2.2
52193-350,2.2
52193-370,2.2
52193-380,2.2
52193-392,2.2
52193-400,2.2
52193-431,2.2
52193-441,2.2
52193-443,2.2
52193-451,2.2
52193-469,2.2
52193-523,2.2
52193-562,2.2
52193-592,2.2
52193-610,2.2
52193-619,2.2
52193-621,2.2
52193-625,2.2
52193-627,2.2
52193-649,2.2
52193-661,2.2
52193-680,2.2
52193-698,2.2
52193-718,2.2
52193-744,2.2
52193-746,2.2
52193-791,2.2
52193-801,2.2
52193-825,2.2
52193-837,2.2
52193-876,2.2
52193-886,2.2
52193-890,2.2
52193-920,2.2
52193-960,2.2
52193-962,2.2
52193-964,2.2
52193-968,2.2
52193-1000,2.3
52193-1007,2.3
52193-108,2.3
52193-1085,2.3
52193-1089,2.3
52193-1097,2.3
52193-110,2.3
52193-1151,2.3
52193-1159,2.3
52193-1163,2.3
52193-1171,2.3
52193-1265,2.3
52193-1289,2.3
52193-1310,2.3
52193-1336,2.3
52193-1377,2.3
52193-1421,2.3
52193-1451,2.3
52193-148,2.3
52193-1489,2.3
52193-1497,2.3
52193-1499,2.3
52193-1503,2.3
52193-154,2.3
52193-1549,2.3
52193-1551,2.3
52193-1553,2.3
52193-1579,2.3
52193-1625,2.3
52193-1637,2.3
52193-1639,2.3
52193-1641,2.3
52193-1747,2.3
52193-1749,2.3
52193-1798,2.3
52193-1808,2.3
52193-1818,2.3
52193-1855,2.3
52193-1873,2.3
52193-194,2.3
52193-23,2.3
52193-235,2.3
52193-253,2.3
52193-32,2.3
52193-330,2.3
52193-334,2.3
52193-348,2.3
52193-36,2.3
52193-40,2.3
52193-419,2.3
52193-427,2.3
52193-445,2.3
52193-447,2.3
52193-50,2.3
52193-504,2.3
52193-510,2.3
52193-513,2.3
52193-515,2.3
52193-531,2.3
52193-537,2.3
52193-547,2.3
